Step,1001 - eval/episode_reward,1001 - eval/episode_reward__MIN,1001 - eval/episode_reward__MAX,1002 - eval/episode_reward,1002 - eval/episode_reward__MIN,1002 - eval/episode_reward__MAX,1003 - eval/episode_reward,1003 - eval/episode_reward__MIN,1003 - eval/episode_reward__MAX,1004 - eval/episode_reward,1004 - eval/episode_reward__MIN,1004 - eval/episode_reward__MAX
0,15.77742767,15.77742767,15.77742767,12.1664034,12.1664034,12.1664034,12.25125586,12.25125586,12.25125586,14.80664345,14.80664345,14.80664345
10000,8.308492626,8.308492626,8.308492626,17.34417668,17.34417668,17.34417668,19.54209629,19.54209629,19.54209629,6.011880642,6.011880642,6.011880642
20000,47.13743595,47.13743595,47.13743595,40.0118823,40.0118823,40.0118823,22.30523145,22.30523145,22.30523145,18.44746939,18.44746939,18.44746939
30000,146.8432349,146.8432349,146.8432349,91.76160549,91.76160549,91.76160549,214.4344259,214.4344259,214.4344259,79.48631728,79.48631728,79.48631728
40000,287.1241426,287.1241426,287.1241426,176.5522322,176.5522322,176.5522322,227.303482,227.303482,227.303482,128.0853035,128.0853035,128.0853035
50000,257.0514917,257.0514917,257.0514917,164.3082496,164.3082496,164.3082496,223.8021747,223.8021747,223.8021747,154.7491777,154.7491777,154.7491777
60000,263.2464134,263.2464134,263.2464134,185.0970781,185.0970781,185.0970781,288.2455636,288.2455636,288.2455636,160.8999184,160.8999184,160.8999184
70000,289.2227044,289.2227044,289.2227044,213.0997852,213.0997852,213.0997852,260.044832,260.044832,260.044832,224.2002634,224.2002634,224.2002634
80000,295.7161898,295.7161898,295.7161898,287.2148268,287.2148268,287.2148268,277.2492643,277.2492643,277.2492643,199.6011394,199.6011394,199.6011394
90000,297.4076911,297.4076911,297.4076911,297.7305501,297.7305501,297.7305501,292.4580254,292.4580254,292.4580254,205.3412928,205.3412928,205.3412928
100000,315.7019394,315.7019394,315.7019394,287.8830984,287.8830984,287.8830984,296.136541,296.136541,296.136541,241.5691728,241.5691728,241.5691728
110000,336.9751238,336.9751238,336.9751238,294.5829469,294.5829469,294.5829469,286.1654107,286.1654107,286.1654107,260.4269395,260.4269395,260.4269395
120000,307.8970785,307.8970785,307.8970785,276.2852967,276.2852967,276.2852967,288.304895,288.304895,288.304895,299.884025,299.884025,299.884025
130000,343.8128406,343.8128406,343.8128406,318.5323918,318.5323918,318.5323918,341.0167767,341.0167767,341.0167767,253.0117675,253.0117675,253.0117675
140000,350.5993485,350.5993485,350.5993485,324.0768504,324.0768504,324.0768504,327.5235505,327.5235505,327.5235505,273.4033297,273.4033297,273.4033297
150000,363.3301208,363.3301208,363.3301208,326.3642805,326.3642805,326.3642805,356.490591,356.490591,356.490591,311.4346934,311.4346934,311.4346934
