Step,3 - eval/episode_reward,3 - eval/episode_reward__MIN,3 - eval/episode_reward__MAX,1 - eval/episode_reward,1 - eval/episode_reward__MIN,1 - eval/episode_reward__MAX,2 - eval/episode_reward,2 - eval/episode_reward__MIN,2 - eval/episode_reward__MAX
0,9.132435487,9.132435487,9.132435487,8.414943929,8.414943929,8.414943929,10.86451226,10.86451226,10.86451226
10000,13.74468057,13.74468057,13.74468057,6.139614764,6.139614764,6.139614764,1.318212093,1.318212093,1.318212093
20000,24.49243116,24.49243116,24.49243116,66.60520609,66.60520609,66.60520609,4.53533147,4.53533147,4.53533147
30000,74.04042632,74.04042632,74.04042632,60.13069434,60.13069434,60.13069434,10.68870204,10.68870204,10.68870204
40000,178.2537176,178.2537176,178.2537176,140.6131177,140.6131177,140.6131177,136.9845665,136.9845665,136.9845665
50000,223.8961981,223.8961981,223.8961981,201.8652712,201.8652712,201.8652712,240.907707,240.907707,240.907707
60000,322.1888342,322.1888342,322.1888342,249.7144013,249.7144013,249.7144013,288.7100507,288.7100507,288.7100507
70000,287.3173531,287.3173531,287.3173531,285.20622,285.20622,285.20622,303.6869155,303.6869155,303.6869155
80000,319.2037247,319.2037247,319.2037247,283.9064149,283.9064149,283.9064149,272.3527775,272.3527775,272.3527775
90000,345.9897798,345.9897798,345.9897798,291.7019869,291.7019869,291.7019869,279.5791457,279.5791457,279.5791457
100000,298.8237459,298.8237459,298.8237459,294.9770292,294.9770292,294.9770292,248.3434272,248.3434272,248.3434272
110000,270.4311343,270.4311343,270.4311343,290.6196402,290.6196402,290.6196402,295.8015561,295.8015561,295.8015561
120000,358.4813222,358.4813222,358.4813222,331.9461795,331.9461795,331.9461795,289.786196,289.786196,289.786196
130000,372.9195492,372.9195492,372.9195492,353.6317288,353.6317288,353.6317288,284.682436,284.682436,284.682436
140000,365.8679269,365.8679269,365.8679269,318.0209146,318.0209146,318.0209146,301.4099267,301.4099267,301.4099267
150000,362.5577958,362.5577958,362.5577958,330.8075359,330.8075359,330.8075359,306.955054,306.955054,306.955054
