"Step","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX"
"0","9.45370800604222e-16","9.45370800604222e-16","9.45370800604222e-16","4.58431115989545e-10","4.58431115989545e-10","4.58431115989545e-10","3.6481722017587774e-13","3.6481722017587774e-13","3.6481722017587774e-13","6.778239911500281e-22","6.778239911500281e-22","6.778239911500281e-22","1.7204132173065351e-15","1.7204132173065351e-15","1.7204132173065351e-15"
"10000","2.9982813058644853","2.9982813058644853","2.9982813058644853","9.262562061272156","9.262562061272156","9.262562061272156","0.26015051801365335","0.26015051801365335","0.26015051801365335","4.491730582033202","4.491730582033202","4.491730582033202","0.2573926889099271","0.2573926889099271","0.2573926889099271"
"20000","68.38532800747114","68.38532800747114","68.38532800747114","17.216195932189063","17.216195932189063","17.216195932189063","38.901002527328856","38.901002527328856","38.901002527328856","2.339565582503109","2.339565582503109","2.339565582503109","45.85078015823106","45.85078015823106","45.85078015823106"
"30000","113.68912550221037","113.68912550221037","113.68912550221037","116.1985553751638","116.1985553751638","116.1985553751638","156.90022205790518","156.90022205790518","156.90022205790518","100.56267412968369","100.56267412968369","100.56267412968369","92.75208905958135","92.75208905958135","92.75208905958135"
"40000","178.47272637452514","178.47272637452514","178.47272637452514","113.1178493324503","113.1178493324503","113.1178493324503","200.48147850452787","200.48147850452787","200.48147850452787","169.48429718800088","169.48429718800088","169.48429718800088","211.39249959377563","211.39249959377563","211.39249959377563"
"50000","206.68076208909233","206.68076208909233","206.68076208909233","210.28034560886286","210.28034560886286","210.28034560886286","139.9246776693366","139.9246776693366","139.9246776693366","178.16293018020792","178.16293018020792","178.16293018020792","186.13343145742687","186.13343145742687","186.13343145742687"
"60000","208.68978328530284","208.68978328530284","208.68978328530284","206.96562923662032","206.96562923662032","206.96562923662032","215.6400248636076","215.6400248636076","215.6400248636076","200.86115537588645","200.86115537588645","200.86115537588645","211.0502606742519","211.0502606742519","211.0502606742519"
"70000","208.40846663120905","208.40846663120905","208.40846663120905","208.96117301935163","208.96117301935163","208.96117301935163","205.31192702390916","205.31192702390916","205.31192702390916","196.91131058368757","196.91131058368757","196.91131058368757","208.0913080439274","208.0913080439274","208.0913080439274"
"80000","219.33698231432209","219.33698231432209","219.33698231432209","199.50624271788897","199.50624271788897","199.50624271788897","212.63752465173894","212.63752465173894","212.63752465173894","209.38119433027492","209.38119433027492","209.38119433027492","228.87305800297844","228.87305800297844","228.87305800297844"
"90000","223.12167593937843","223.12167593937843","223.12167593937843","207.19362200404163","207.19362200404163","207.19362200404163","223.99743604026327","223.99743604026327","223.99743604026327","226.4271404416332","226.4271404416332","226.4271404416332","223.83705494579232","223.83705494579232","223.83705494579232"
"100000","217.74310071124674","217.74310071124674","217.74310071124674","209.26850905208704","209.26850905208704","209.26850905208704","227.0936546873698","227.0936546873698","227.0936546873698","223.49155468284252","223.49155468284252","223.49155468284252","221.48227429913987","221.48227429913987","221.48227429913987"
