"Step","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX"
"0","0.10080762607760856","0.10080762607760856","0.10080762607760856","2.3966794388616806","2.3966794388616806","2.3966794388616806","14.537686463461444","14.537686463461444","14.537686463461444","1.1654191377751626","1.1654191377751626","1.1654191377751626","7.706399205891524","7.706399205891524","7.706399205891524"
"10000","0.5937899025988487","0.5937899025988487","0.5937899025988487","10.964800283861987","10.964800283861987","10.964800283861987","8.73331567524949","8.73331567524949","8.73331567524949","10.731904238682892","10.731904238682892","10.731904238682892","1.9733924719495168","1.9733924719495168","1.9733924719495168"
"20000","39.676131522222434","39.676131522222434","39.676131522222434","14.252218745868381","14.252218745868381","14.252218745868381","132.84340508456205","132.84340508456205","132.84340508456205","47.72526861179086","47.72526861179086","47.72526861179086","24.438625273809578","24.438625273809578","24.438625273809578"
"30000","156.48556977516654","156.48556977516654","156.48556977516654","34.59877987739121","34.59877987739121","34.59877987739121","171.4600474100178","171.4600474100178","171.4600474100178","179.62717575184473","179.62717575184473","179.62717575184473","142.57548134282186","142.57548134282186","142.57548134282186"
"40000","162.34880285634546","162.34880285634546","162.34880285634546","158.17311322957434","158.17311322957434","158.17311322957434","198.65390412393614","198.65390412393614","198.65390412393614","192.44797631381414","192.44797631381414","192.44797631381414","216.4448743846539","216.4448743846539","216.4448743846539"
"50000","198.1353288756497","198.1353288756497","198.1353288756497","145.04089090012545","145.04089090012545","145.04089090012545","221.58474516646612","221.58474516646612","221.58474516646612","217.25717937367705","217.25717937367705","217.25717937367705","186.39508222779992","186.39508222779992","186.39508222779992"
"60000","198.2898565540151","198.2898565540151","198.2898565540151","180.95816750211105","180.95816750211105","180.95816750211105","199.9196870170574","199.9196870170574","199.9196870170574","217.92158883359656","217.92158883359656","217.92158883359656","185.58454632750292","185.58454632750292","185.58454632750292"
"70000","191.5763371030499","191.5763371030499","191.5763371030499","212.71465641198157","212.71465641198157","212.71465641198157","217.23583336842847","217.23583336842847","217.23583336842847","223.6568915445163","223.6568915445163","223.6568915445163","212.6885548883256","212.6885548883256","212.6885548883256"
"80000","215.47462748267307","215.47462748267307","215.47462748267307","214.14461076463016","214.14461076463016","214.14461076463016","223.40732494719813","223.40732494719813","223.40732494719813","210.4597464326683","210.4597464326683","210.4597464326683","200.98833180120909","200.98833180120909","200.98833180120909"
"90000","226.97935527845235","226.97935527845235","226.97935527845235","211.40225095383025","211.40225095383025","211.40225095383025","206.62006581455938","206.62006581455938","206.62006581455938","202.87665824272585","202.87665824272585","202.87665824272585","229.66721319882444","229.66721319882444","229.66721319882444"
"100000","215.98575762166337","215.98575762166337","215.98575762166337","200.4071709376812","200.4071709376812","200.4071709376812","205.37931318142574","205.37931318142574","205.37931318142574","214.62124058079826","214.62124058079826","214.62124058079826","224.9032661927995","224.9032661927995","224.9032661927995"
