"Step","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX"
"0","0.00962103951407166","0.00962103951407166","0.00962103951407166","0.1645210292248258","0.1645210292248258","0.1645210292248258","0.008888483654991914","0.008888483654991914","0.008888483654991914","0.5180311652318463","0.5180311652318463","0.5180311652318463","6.036643860363676e-9","6.036643860363676e-9","6.036643860363676e-9"
"10000","10.074325904275007","10.074325904275007","10.074325904275007","0.41855326651981173","0.41855326651981173","0.41855326651981173","2.3924218978324108","2.3924218978324108","2.3924218978324108","0.0734543199208502","0.0734543199208502","0.0734543199208502","4.508069960851161","4.508069960851161","4.508069960851161"
"20000","41.26571384455184","41.26571384455184","41.26571384455184","85.9635619757714","85.9635619757714","85.9635619757714","77.70057048856032","77.70057048856032","77.70057048856032","118.53265056745848","118.53265056745848","118.53265056745848","65.10541985221015","65.10541985221015","65.10541985221015"
"30000","189.5262478298575","189.5262478298575","189.5262478298575","155.6468092853641","155.6468092853641","155.6468092853641","101.38986619832181","101.38986619832181","101.38986619832181","168.8116015858352","168.8116015858352","168.8116015858352","75.84328568688369","75.84328568688369","75.84328568688369"
"40000","199.12483579595633","199.12483579595633","199.12483579595633","181.89899985119513","181.89899985119513","181.89899985119513","203.32112978530023","203.32112978530023","203.32112978530023","151.28383055377705","151.28383055377705","151.28383055377705","140.32473119752643","140.32473119752643","140.32473119752643"
"50000","198.74238411004248","198.74238411004248","198.74238411004248","186.16656406502287","186.16656406502287","186.16656406502287","219.46857063221086","219.46857063221086","219.46857063221086","189.61319122880047","189.61319122880047","189.61319122880047","140.4420118343596","140.4420118343596","140.4420118343596"
"60000","223.63008811003095","223.63008811003095","223.63008811003095","222.3292875216038","222.3292875216038","222.3292875216038","153.65837272173667","153.65837272173667","153.65837272173667","187.16075204305892","187.16075204305892","187.16075204305892","213.22434426274572","213.22434426274572","213.22434426274572"
"70000","200.4598974510564","200.4598974510564","200.4598974510564","222.44261002932802","222.44261002932802","222.44261002932802","211.0314048552845","211.0314048552845","211.0314048552845","210.51600917419478","210.51600917419478","210.51600917419478","216.53210937244472","216.53210937244472","216.53210937244472"
"80000","227.0037695098048","227.0037695098048","227.0037695098048","227.26779841919839","227.26779841919839","227.26779841919839","228.99695524816576","228.99695524816576","228.99695524816576","225.6690638853482","225.6690638853482","225.6690638853482","210.38668257516912","210.38668257516912","210.38668257516912"
"90000","218.95888055240962","218.95888055240962","218.95888055240962","233.08661145695163","233.08661145695163","233.08661145695163","226.32645728414212","226.32645728414212","226.32645728414212","206.00935274438697","206.00935274438697","206.00935274438697","228.05652380357165","228.05652380357165","228.05652380357165"
"100000","226.6231549379824","226.6231549379824","226.6231549379824","228.05703498551142","228.05703498551142","228.05703498551142","226.06787078654702","226.06787078654702","226.06787078654702","227.46615857895262","227.46615857895262","227.46615857895262","214.85134737045078","214.85134737045078","214.85134737045078"
