"Step","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX"
"0","234.73081962497872","234.73081962497872","234.73081962497872","301.6601334580886","301.6601334580886","301.6601334580886","242.97374243364212","242.97374243364212","242.97374243364212","287.8927961669621","287.8927961669621","287.8927961669621","301.1326006437765","301.1326006437765","301.1326006437765"
"10000","251.367603074823","251.367603074823","251.367603074823","285.1026785653103","285.1026785653103","285.1026785653103","241.07997665930867","241.07997665930867","241.07997665930867","288.63198482154445","288.63198482154445","288.63198482154445","270.4142559583342","270.4142559583342","270.4142559583342"
"20000","357.6533078880676","357.6533078880676","357.6533078880676","86.19284632455751","86.19284632455751","86.19284632455751","468.60994112087144","468.60994112087144","468.60994112087144","214.81946326185704","214.81946326185704","214.81946326185704","417.1200043734028","417.1200043734028","417.1200043734028"
"30000","562.9189621703151","562.9189621703151","562.9189621703151","529.8909645810024","529.8909645810024","529.8909645810024","725.7453863118599","725.7453863118599","725.7453863118599","360.5846792706963","360.5846792706963","360.5846792706963","289.0934631141999","289.0934631141999","289.0934631141999"
"40000","650.0425054373562","650.0425054373562","650.0425054373562","633.808047790858","633.808047790858","633.808047790858","562.1757640849438","562.1757640849438","562.1757640849438","719.9033702432132","719.9033702432132","719.9033702432132","777.9965146539109","777.9965146539109","777.9965146539109"
"50000","813.366329751357","813.366329751357","813.366329751357","819.474184343471","819.474184343471","819.474184343471","798.255991252313","798.255991252313","798.255991252313","598.8879013348208","598.8879013348208","598.8879013348208","746.7385367280622","746.7385367280622","746.7385367280622"
"60000","817.1748583450646","817.1748583450646","817.1748583450646","833.1031499497151","833.1031499497151","833.1031499497151","849.1382639870129","849.1382639870129","849.1382639870129","803.8673446353962","803.8673446353962","803.8673446353962","853.9102294708473","853.9102294708473","853.9102294708473"
"70000","810.2769676921786","810.2769676921786","810.2769676921786","769.4016244132071","769.4016244132071","769.4016244132071","836.2820044230982","836.2820044230982","836.2820044230982","863.8770183738449","863.8770183738449","863.8770183738449","813.9547544308529","813.9547544308529","813.9547544308529"
"80000","832.1254216217305","832.1254216217305","832.1254216217305","835.395445905835","835.395445905835","835.395445905835","820.6492656902435","820.6492656902435","820.6492656902435","823.7580788332832","823.7580788332832","823.7580788332832","859.9687439062434","859.9687439062434","859.9687439062434"
"90000","846.4393924040584","846.4393924040584","846.4393924040584","864.6612905520813","864.6612905520813","864.6612905520813","861.0916211294283","861.0916211294283","861.0916211294283","865.970278855741","865.970278855741","865.970278855741","821.2851041871949","821.2851041871949","821.2851041871949"
"100000","873.6832899217886","873.6832899217886","873.6832899217886","849.013083421152","849.013083421152","849.013083421152","885.1958231488073","885.1958231488073","885.1958231488073","876.3719496059535","876.3719496059535","876.3719496059535","804.032466580045","804.032466580045","804.032466580045"
