"Step","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX"
"0","192.19200052728047","192.19200052728047","192.19200052728047","158.8397301028608","158.8397301028608","158.8397301028608","175.47599228652444","175.47599228652444","175.47599228652444","186.5325955922349","186.5325955922349","186.5325955922349","192.93551617333267","192.93551617333267","192.93551617333267"
"10000","224.38217456150014","224.38217456150014","224.38217456150014","207.31799413194148","207.31799413194148","207.31799413194148","220.67249089282896","220.67249089282896","220.67249089282896","193.11059103640576","193.11059103640576","193.11059103640576","178.21791180151777","178.21791180151777","178.21791180151777"
"20000","118.38778231190744","118.38778231190744","118.38778231190744","196.24798099541857","196.24798099541857","196.24798099541857","147.51199112108998","147.51199112108998","147.51199112108998","288.13041880377466","288.13041880377466","288.13041880377466","153.9913030992755","153.9913030992755","153.9913030992755"
"30000","475.43190781356236","475.43190781356236","475.43190781356236","336.60530337951","336.60530337951","336.60530337951","498.4361758238867","498.4361758238867","498.4361758238867","506.98890891635966","506.98890891635966","506.98890891635966","364.64125557141654","364.64125557141654","364.64125557141654"
"40000","534.9660527572565","534.9660527572565","534.9660527572565","531.3068699814212","531.3068699814212","531.3068699814212","550.9154585422673","550.9154585422673","550.9154585422673","570.8719266055011","570.8719266055011","570.8719266055011","376.36932452830234","376.36932452830234","376.36932452830234"
"50000","588.1786454196057","588.1786454196057","588.1786454196057","559.8720162794276","559.8720162794276","559.8720162794276","700.6753332804429","700.6753332804429","700.6753332804429","644.7664415922376","644.7664415922376","644.7664415922376","497.4413716427962","497.4413716427962","497.4413716427962"
"60000","644.0236993159725","644.0236993159725","644.0236993159725","654.7319887944889","654.7319887944889","654.7319887944889","666.8092155577453","666.8092155577453","666.8092155577453","653.5427296445329","653.5427296445329","653.5427296445329","575.8378399953556","575.8378399953556","575.8378399953556"
"70000","714.3699523850327","714.3699523850327","714.3699523850327","676.3826459965675","676.3826459965675","676.3826459965675","732.8888347087379","732.8888347087379","732.8888347087379","680.6926440487416","680.6926440487416","680.6926440487416","672.9344026655664","672.9344026655664","672.9344026655664"
"80000","717.6144823113457","717.6144823113457","717.6144823113457","680.3023867638567","680.3023867638567","680.3023867638567","783.4119532231333","783.4119532231333","783.4119532231333","708.553978550902","708.553978550902","708.553978550902","695.9745951467214","695.9745951467214","695.9745951467214"
"90000","791.4923927403436","791.4923927403436","791.4923927403436","722.8422279811218","722.8422279811218","722.8422279811218","796.177736087325","796.177736087325","796.177736087325","745.7643558548968","745.7643558548968","745.7643558548968","729.2176860485989","729.2176860485989","729.2176860485989"
"100000","705.2231461509708","705.2231461509708","705.2231461509708","751.5180888549315","751.5180888549315","751.5180888549315","748.7517538426396","748.7517538426396","748.7517538426396","778.4387609440859","778.4387609440859","778.4387609440859","689.8984759810877","689.8984759810877","689.8984759810877"
