"Step","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX"
"0","139.09406400728523","139.09406400728523","139.09406400728523","147.5724907946619","147.5724907946619","147.5724907946619","187.8292028218537","187.8292028218537","187.8292028218537","183.56519149357752","183.56519149357752","183.56519149357752","186.30340682334193","186.30340682334193","186.30340682334193"
"10000","161.69985465130628","161.69985465130628","161.69985465130628","157.28705287800295","157.28705287800295","157.28705287800295","171.90683666654363","171.90683666654363","171.90683666654363","166.59617882946696","166.59617882946696","166.59617882946696","177.22446465030038","177.22446465030038","177.22446465030038"
"20000","125.52434984196398","125.52434984196398","125.52434984196398","349.6552133453024","349.6552133453024","349.6552133453024","64.29006294504867","64.29006294504867","64.29006294504867","353.6465218803777","353.6465218803777","353.6465218803777","97.65291867526909","97.65291867526909","97.65291867526909"
"30000","656.6908810802154","656.6908810802154","656.6908810802154","243.24116875687452","243.24116875687452","243.24116875687452","692.0126896415758","692.0126896415758","692.0126896415758","142.24830819161298","142.24830819161298","142.24830819161298","659.4521053943702","659.4521053943702","659.4521053943702"
"40000","790.524931722769","790.524931722769","790.524931722769","430.03220870166814","430.03220870166814","430.03220870166814","770.705001209877","770.705001209877","770.705001209877","169.94218555498375","169.94218555498375","169.94218555498375","899.9017542764639","899.9017542764639","899.9017542764639"
"50000","906.9128357896327","906.9128357896327","906.9128357896327","893.0604817120168","893.0604817120168","893.0604817120168","872.4685622356986","872.4685622356986","872.4685622356986","743.9653236650405","743.9653236650405","743.9653236650405","930.2929651861829","930.2929651861829","930.2929651861829"
"60000","862.1238193478945","862.1238193478945","862.1238193478945","839.3781547686419","839.3781547686419","839.3781547686419","915.756573964117","915.756573964117","915.756573964117","825.4053786222892","825.4053786222892","825.4053786222892","936.8976029821652","936.8976029821652","936.8976029821652"
"70000","863.8827802406691","863.8827802406691","863.8827802406691","831.0307278457325","831.0307278457325","831.0307278457325","929.834384467197","929.834384467197","929.834384467197","928.9935607391523","928.9935607391523","928.9935607391523","920.8228761039369","920.8228761039369","920.8228761039369"
"80000","922.9414513931961","922.9414513931961","922.9414513931961","820.3364917423908","820.3364917423908","820.3364917423908","907.2462504843577","907.2462504843577","907.2462504843577","915.7323835946233","915.7323835946233","915.7323835946233","918.1977690754062","918.1977690754062","918.1977690754062"
"90000","900.3753538593473","900.3753538593473","900.3753538593473","855.4343536758281","855.4343536758281","855.4343536758281","913.2240113206419","913.2240113206419","913.2240113206419","910.5475227820383","910.5475227820383","910.5475227820383","950.0874548264761","950.0874548264761","950.0874548264761"
"100000","916.5722726704768","916.5722726704768","916.5722726704768","911.7688038942402","911.7688038942402","911.7688038942402","947.707962877062","947.707962877062","947.707962877062","928.9043113490791","928.9043113490791","928.9043113490791","921.9302587899326","921.9302587899326","921.9302587899326"
