"Step","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX"
"0","240.92233852303121","240.92233852303121","240.92233852303121","210.30184954463726","210.30184954463726","210.30184954463726","257.1477418668674","257.1477418668674","257.1477418668674","247.08270655822926","247.08270655822926","247.08270655822926","251.0160397446387","251.0160397446387","251.0160397446387"
"10000","262.88159591974556","262.88159591974556","262.88159591974556","279.83764118899217","279.83764118899217","279.83764118899217","378.19961793048594","378.19961793048594","378.19961793048594","278.42331021563075","278.42331021563075","278.42331021563075","376.64025682708234","376.64025682708234","376.64025682708234"
"20000","863.7790536259672","863.7790536259672","863.7790536259672","670.0540435447544","670.0540435447544","670.0540435447544","572.7911683313097","572.7911683313097","572.7911683313097","662.5507190783442","662.5507190783442","662.5507190783442","770.4096417187457","770.4096417187457","770.4096417187457"
"30000","958.0612428981543","958.0612428981543","958.0612428981543","962.7372008959468","962.7372008959468","962.7372008959468","744.2280599029899","744.2280599029899","744.2280599029899","726.7712446600259","726.7712446600259","726.7712446600259","954.4155316438786","954.4155316438786","954.4155316438786"
"40000","965.115324905438","965.115324905438","965.115324905438","964.6030340902898","964.6030340902898","964.6030340902898","952.2119107289502","952.2119107289502","952.2119107289502","700.7858889223311","700.7858889223311","700.7858889223311","966.2715320926142","966.2715320926142","966.2715320926142"
"50000","976.1895034700256","976.1895034700256","976.1895034700256","965.1861091006338","965.1861091006338","965.1861091006338","965.6487336995906","965.6487336995906","965.6487336995906","798.4171013264528","798.4171013264528","798.4171013264528","973.790772555685","973.790772555685","973.790772555685"
"60000","971.9462831078979","971.9462831078979","971.9462831078979","975.902621194074","975.902621194074","975.902621194074","967.5935131383773","967.5935131383773","967.5935131383773","898.521067407296","898.521067407296","898.521067407296","963.3985860845232","963.3985860845232","963.3985860845232"
"70000","958.8085669696391","958.8085669696391","958.8085669696391","964.4095604060798","964.4095604060798","964.4095604060798","975.0124673066499","975.0124673066499","975.0124673066499","936.0954081579296","936.0954081579296","936.0954081579296","972.4698571936199","972.4698571936199","972.4698571936199"
"80000","979.3131270100528","979.3131270100528","979.3131270100528","960.2574970039681","960.2574970039681","960.2574970039681","965.3647100759906","965.3647100759906","965.3647100759906","949.3407707995066","949.3407707995066","949.3407707995066","975.1347603580756","975.1347603580756","975.1347603580756"
"90000","975.8930846011051","975.8930846011051","975.8930846011051","973.5649846173355","973.5649846173355","973.5649846173355","961.7317058188968","961.7317058188968","961.7317058188968","967.3903293165197","967.3903293165197","967.3903293165197","972.2664428886837","972.2664428886837","972.2664428886837"
"100000","976.3354994028083","976.3354994028083","976.3354994028083","966.0431273439287","966.0431273439287","966.0431273439287","966.0922878542735","966.0922878542735","966.0922878542735","962.0649648012446","962.0649648012446","962.0649648012446","968.5542758651015","968.5542758651015","968.5542758651015"
