"Step","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX"
"0","87.50043745813153","87.50043745813153","87.50043745813153","87.84532847425425","87.84532847425425","87.84532847425425","93.62827021454551","93.62827021454551","93.62827021454551","102.08335241854775","102.08335241854775","102.08335241854775","85.63699881438579","85.63699881438579","85.63699881438579"
"10000","187.88219868706955","187.88219868706955","187.88219868706955","153.96134103147142","153.96134103147142","153.96134103147142","139.1248110509402","139.1248110509402","139.1248110509402","147.29407466765116","147.29407466765116","147.29407466765116","138.73464382673936","138.73464382673936","138.73464382673936"
"20000","601.0745060525255","601.0745060525255","601.0745060525255","563.6174012317534","563.6174012317534","563.6174012317534","560.0114125960856","560.0114125960856","560.0114125960856","561.5321392550043","561.5321392550043","561.5321392550043","612.6424464771607","612.6424464771607","612.6424464771607"
"30000","669.0060085638355","669.0060085638355","669.0060085638355","687.4812992664095","687.4812992664095","687.4812992664095","656.7264118044122","656.7264118044122","656.7264118044122","703.4496976399132","703.4496976399132","703.4496976399132","674.4551812985034","674.4551812985034","674.4551812985034"
"40000","737.1215570891565","737.1215570891565","737.1215570891565","750.3385105686204","750.3385105686204","750.3385105686204","711.1835370324443","711.1835370324443","711.1835370324443","735.7342827185878","735.7342827185878","735.7342827185878","744.2576970777957","744.2576970777957","744.2576970777957"
"50000","749.4774734575242","749.4774734575242","749.4774734575242","734.4227167427332","734.4227167427332","734.4227167427332","758.6461120262989","758.6461120262989","758.6461120262989","768.1349023473828","768.1349023473828","768.1349023473828","721.1040226391016","721.1040226391016","721.1040226391016"
"60000","713.0772335775558","713.0772335775558","713.0772335775558","762.4341263110871","762.4341263110871","762.4341263110871","774.084125073606","774.084125073606","774.084125073606","747.5327568749314","747.5327568749314","747.5327568749314","783.068328016759","783.068328016759","783.068328016759"
"70000","764.4385772917434","764.4385772917434","764.4385772917434","785.786891092735","785.786891092735","785.786891092735","768.321636569171","768.321636569171","768.321636569171","779.7130992865094","779.7130992865094","779.7130992865094","768.2186305933557","768.2186305933557","768.2186305933557"
"80000","776.0474084605186","776.0474084605186","776.0474084605186","779.0711760746977","779.0711760746977","779.0711760746977","771.7606801543445","771.7606801543445","771.7606801543445","766.773413098834","766.773413098834","766.773413098834","776.2043125333648","776.2043125333648","776.2043125333648"
"90000","770.0912668040951","770.0912668040951","770.0912668040951","790.3855812914203","790.3855812914203","790.3855812914203","775.3203445712393","775.3203445712393","775.3203445712393","780.7252122127513","780.7252122127513","780.7252122127513","771.0567558656239","771.0567558656239","771.0567558656239"
"100000","785.2669500348829","785.2669500348829","785.2669500348829","785.757372061923","785.757372061923","785.757372061923","778.9890358871904","778.9890358871904","778.9890358871904","743.1841070672862","743.1841070672862","743.1841070672862","756.8094016458797","756.8094016458797","756.8094016458797"
