"Step","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX"
"0","431.00136042242764","431.00136042242764","431.00136042242764","399.5965040448158","399.5965040448158","399.5965040448158","378.1014507027276","378.1014507027276","378.1014507027276","400.91733738740726","400.91733738740726","400.91733738740726","388.76958523169725","388.76958523169725","388.76958523169725"
"10000","689.3877449903205","689.3877449903205","689.3877449903205","924.4462938429142","924.4462938429142","924.4462938429142","779.5394520223248","779.5394520223248","779.5394520223248","876.9037669752282","876.9037669752282","876.9037669752282","528.3298200354868","528.3298200354868","528.3298200354868"
"20000","985.2881021992819","985.2881021992819","985.2881021992819","888.3262762541801","888.3262762541801","888.3262762541801","989.7420319901014","989.7420319901014","989.7420319901014","985.8368705078025","985.8368705078025","985.8368705078025","974.2548480845107","974.2548480845107","974.2548480845107"
"30000","893.4801175089693","893.4801175089693","893.4801175089693","987.4234850410555","987.4234850410555","987.4234850410555","988.3094865460986","988.3094865460986","988.3094865460986","983.1914428468223","983.1914428468223","983.1914428468223","984.4100193978514","984.4100193978514","984.4100193978514"
"40000","984.9983028123974","984.9983028123974","984.9983028123974","987.6402094997505","987.6402094997505","987.6402094997505","985.6585345343507","985.6585345343507","985.6585345343507","982.3800489232378","982.3800489232378","982.3800489232378","987.404399100879","987.404399100879","987.404399100879"
"50000","978.011945139586","978.011945139586","978.011945139586","988.3451221060162","988.3451221060162","988.3451221060162","990.9742613159548","990.9742613159548","990.9742613159548","989.0975842077041","989.0975842077041","989.0975842077041","977.170574814469","977.170574814469","977.170574814469"
"60000","984.6851903812233","984.6851903812233","984.6851903812233","984.9871511550058","984.9871511550058","984.9871511550058","990.1694963990267","990.1694963990267","990.1694963990267","989.1196213020974","989.1196213020974","989.1196213020974","985.1918124826022","985.1918124826022","985.1918124826022"
"70000","986.0629907672853","986.0629907672853","986.0629907672853","979.3554651506922","979.3554651506922","979.3554651506922","983.7653123376682","983.7653123376682","983.7653123376682","981.5387038703269","981.5387038703269","981.5387038703269","982.4405675838107","982.4405675838107","982.4405675838107"
"80000","974.0927249273809","974.0927249273809","974.0927249273809","983.894357834662","983.894357834662","983.894357834662","979.895108471067","979.895108471067","979.895108471067","987.3298405612346","987.3298405612346","987.3298405612346","988.60731417243","988.60731417243","988.60731417243"
"90000","981.0968071664541","981.0968071664541","981.0968071664541","989.4791296348767","989.4791296348767","989.4791296348767","989.3927271863497","989.3927271863497","989.3927271863497","990.2238477757826","990.2238477757826","990.2238477757826","980.6597647960465","980.6597647960465","980.6597647960465"
"100000","986.3656643387991","986.3656643387991","986.3656643387991","983.267010191192","983.267010191192","983.267010191192","980.4288934553288","980.4288934553288","980.4288934553288","987.2699320502164","987.2699320502164","987.2699320502164","986.4975903212926","986.4975903212926","986.4975903212926"
