"Step","2 - eval/episode_reward","2 - eval/episode_reward__MIN","2 - eval/episode_reward__MAX","3 - eval/episode_reward","3 - eval/episode_reward__MIN","3 - eval/episode_reward__MAX","1 - eval/episode_reward","1 - eval/episode_reward__MIN","1 - eval/episode_reward__MAX","4 - eval/episode_reward","4 - eval/episode_reward__MIN","4 - eval/episode_reward__MAX","0 - eval/episode_reward","0 - eval/episode_reward__MIN","0 - eval/episode_reward__MAX"
"0","213.27461491835948","213.27461491835948","213.27461491835948","183.83802788191775","183.83802788191775","183.83802788191775","182.90217012612158","182.90217012612158","182.90217012612158","155.6617956736375","155.6617956736375","155.6617956736375","195.56326832131776","195.56326832131776","195.56326832131776"
"10000","356.07672882733686","356.07672882733686","356.07672882733686","344.7270532813245","344.7270532813245","344.7270532813245","315.90870042493793","315.90870042493793","315.90870042493793","416.22879417333024","416.22879417333024","416.22879417333024","546.6932599480417","546.6932599480417","546.6932599480417"
"20000","739.0117046760231","739.0117046760231","739.0117046760231","950.8836184692611","950.8836184692611","950.8836184692611","957.3747602682515","957.3747602682515","957.3747602682515","951.508403020554","951.508403020554","951.508403020554","947.1373389951675","947.1373389951675","947.1373389951675"
"30000","878.4800970881381","878.4800970881381","878.4800970881381","968.3109689965031","968.3109689965031","968.3109689965031","973.0704124304106","973.0704124304106","973.0704124304106","965.8808927561176","965.8808927561176","965.8808927561176","967.1781489827994","967.1781489827994","967.1781489827994"
"40000","967.3951358862499","967.3951358862499","967.3951358862499","968.4087068242221","968.4087068242221","968.4087068242221","967.8221657882793","967.8221657882793","967.8221657882793","971.7176660214894","971.7176660214894","971.7176660214894","968.581561763591","968.581561763591","968.581561763591"
"50000","969.1977660884606","969.1977660884606","969.1977660884606","976.1971392269094","976.1971392269094","976.1971392269094","973.4238581565174","973.4238581565174","973.4238581565174","981.8108042103182","981.8108042103182","981.8108042103182","972.5823213907433","972.5823213907433","972.5823213907433"
"60000","965.8640229759574","965.8640229759574","965.8640229759574","973.3788875959381","973.3788875959381","973.3788875959381","974.7256195964803","974.7256195964803","974.7256195964803","981.6607090778505","981.6607090778505","981.6607090778505","959.488831847431","959.488831847431","959.488831847431"
"70000","973.141182131023","973.141182131023","973.141182131023","977.320486824355","977.320486824355","977.320486824355","969.3491163805813","969.3491163805813","969.3491163805813","966.408345406419","966.408345406419","966.408345406419","963.7587747356898","963.7587747356898","963.7587747356898"
"80000","962.8339889465333","962.8339889465333","962.8339889465333","969.7541690085051","969.7541690085051","969.7541690085051","978.5974978501048","978.5974978501048","978.5974978501048","970.0359575994335","970.0359575994335","970.0359575994335","978.0269763769371","978.0269763769371","978.0269763769371"
"90000","968.6064662108722","968.6064662108722","968.6064662108722","971.2098880968394","971.2098880968394","971.2098880968394","979.7173934294644","979.7173934294644","979.7173934294644","974.4316856745048","974.4316856745048","974.4316856745048","967.6690458006773","967.6690458006773","967.6690458006773"
"100000","970.6805880568509","970.6805880568509","970.6805880568509","974.3177171704723","974.3177171704723","974.3177171704723","971.8358545630421","971.8358545630421","971.8358545630421","971.3326178119721","971.3326178119721","971.3326178119721","973.8827270182486","973.8827270182486","973.8827270182486"
